ID	D1	D2	D3	D4
ver92	6.1	3	4.6	1.4
ver93	5.8	2.6	4	1.2
ver94	5	2.3	3.3	1
ver95	5.6	2.7	4.2	1.3
ver96	5.7	3	4.2	1.2
ver97	5.7	2.9	4.2	1.3
ver98	6.2	2.9	4.3	1.3
ver99	5.1	2.5	3	1.1
ver100	5.7	2.8	4.1	1.3
vir101	6.3	3.3	6	2.5
vir102	5.8	2.7	5.1	1.9
vir103	7.1	3	5.9	2.1
vir104	6.3	2.9	5.6	1.8
vir105	6.5	3	5.8	2.2
vir106	7.6	3	6.6	2.1
vir107	4.9	2.5	4.5	1.7
vir108	7.3	2.9	6.3	1.8
vir109	6.7	2.5	5.8	1.8
vir110	7.2	3.6	6.1	2.5
vir111	6.5	3.2	5.1	2
vir112	6.4	2.7	5.3	1.9
vir113	6.8	3	5.5	2.1
vir114	5.7	2.5	5	2
vir115	5.8	2.8	5.1	2.4
vir116	6.4	3.2	5.3	2.3
vir117	6.5	3	5.5	1.8
vir118	7.7	3.8	6.7	2.2
vir119	7.7	2.6	6.9	2.3
vir120	6	2.2	5	1.5
vir121	6.9	3.2	5.7	2.3
vir122	5.6	2.8	4.9	2
vir123	7.7	2.8	6.7	2
vir124	6.3	2.7	4.9	1.8
vir125	6.7	3.3	5.7	2.1
vir126	7.2	3.2	6	1.8
vir127	6.2	2.8	4.8	1.8
vir128	6.1	3	4.9	1.8
vir129	6.4	2.8	5.6	2.1
vir130	7.2	3	5.8	1.6
vir131	7.4	2.8	6.1	1.9
vir132	7.9	3.8	6.4	2
vir133	6.4	2.8	5.6	2.2
vir134	6.3	2.8	5.1	1.5
vir135	6.1	2.6	5.6	1.4
vir136	7.7	3	6.1	2.3
vir137	6.3	3.4	5.6	2.4
vir138	6.4	3.1	5.5	1.8
vir139	6	3	4.8	1.8
vir140	6.9	3.1	5.4	2.1
vir141	6.7	3.1	5.6	2.4
vir142	6.9	3.1	5.1	2.3
vir143	5.8	2.7	5.1	1.9
vir144	6.8	3.2	5.9	2.3
vir145	6.7	3.3	5.7	2.5
vir146	6.7	3	5.2	2.3
vir147	6.3	2.5	5	1.9
vir148	6.5	3	5.2	2
vir149	6.2	3.4	5.4	2.3
vir150	5.9	3	5.1	1.8
