ID	a0	a1
136	17.9887	7.13106
137	16.8118	4.1841
138	15.0836	7.36586
139	16.5774	9.56896
140	17.9506	7.10765
141	14.517	9.44311
142	15.9166	8.42649
143	16.6646	8.09649
144	15.8347	7.95364
145	15.61	9.98464
146	16.063	7.05982
147	16.7968	8.48788
148	16.5396	6.56641
149	12.9813	8.07702
150	17.0785	3.68252
151	15.699	7.32908
152	14.1085	6.94373
153	18.4709	8.60249
154	16.9888	8.29333
155	19.4182	7.62731
156	14.6617	5.08308
157	17.9592	10.0375
158	16.0899	10.4643
159	14.7572	5.59175
160	13.6694	6.54048
161	13.8108	6.6018
162	15.8599	5.92665
163	15.6776	8.29735
164	13.9861	10.271
165	18.0023	6.07867
166	18.8984	9.10032
167	15.8383	8.23948
168	16.1484	6.66557
169	15.9478	9.24739
170	16.9019	7.06773
171	17.2531	6.23929
172	19.5515	8.93252
173	19.0103	9.5994
174	15.9829	8.38472
175	17.2588	8.93734
176	16.5692	8.65011
177	14.0129	7.56813
178	16.8909	8.33322
179	14.8916	8.64276
180	15.4347	4.60389
181	14.2902	8.12746
182	17.7572	5.78679
183	17.4824	7.33767
184	15.9216	9.92918
185	16.7039	6.25332
186	16.5762	10.7403
187	14.8297	9.86756
188	17.5867	7.25238
189	14.8511	7.37453
190	15.5677	9.96748
191	17.4781	10.4769
192	16.1063	6.62133
193	16.2928	8.9168
194	18.338	6.74959
195	17.4109	9.79361
196	20.1779	7.4522
197	16.8988	5.96699
198	16.5832	8.704
199	14.9648	5.78802
200	18.7261	6.80646
201	15.8844	7.2688
202	16.803	9.7472
203	14.2722	8.28467
204	15.9054	9.09486
205	15.2714	8.79806
206	15.3622	9.17853
207	14.5347	6.65277
208	14.8409	5.25403
209	16.4029	11.4222
210	15.5175	11.9222
211	16.0587	8.00488
212	16.2007	8.18439
213	16.8932	6.3268
214	16.3277	9.00106
215	16.3464	8.23709
216	17.1683	9.40932
217	17.6443	7.21862
218	17.6777	7.29736
219	17.9091	6.83092
220	15.5988	7.26227
221	13.6005	8.42324
222	17.1677	8.24945
223	16.9085	11.8529
224	18.099	10.4017
225	16.9169	7.28374
226	16.6055	6.87593
227	14.7462	7.68021
228	14.1696	7.5609
229	16.9567	6.20564
230	14.7724	8.89887
231	16.9047	10.9222
232	16.5317	6.80622
233	15.2128	7.88061
234	15.5922	9.57735
235	15.827	5.91739
236	13.9933	7.2087
237	16.6141	8.39237
238	15.3058	6.75483
239	18.2146	8.41844
240	18.0496	8.05228
241	17.4953	7.88137
242	17.1874	9.33475
243	18.4342	6.78832
244	17.6005	8.0358
245	17.0468	10.2217
246	17.1615	7.42877
247	18.6278	8.24253
248	14.6087	6.50582
249	17.6314	9.52499
250	16.4068	9.75788
251	8.00367	15.846
252	7.26411	13.9474
253	6.39372	15.0364
254	9.15463	16.3785
255	8.52443	16.475
256	8.70138	18.7579
257	10.4548	16.0178
258	9.97829	14.4587
259	9.57929	15.6494
260	9.35257	14.979
261	9.28862	15.4884
262	8.87335	17.3693
263	6.67182	12.7646
264	9.62077	17.1587
265	5.44188	17.5114
266	11.4145	18.9154
267	7.05422	17.5655
268	7.72392	14.3238
269	6.18903	15.8346
270	7.30435	15.2716
271	8.28156	15.572
272	5.99337	14.4761
273	10.4902	16.0243
274	6.70819	14.7259
275	9.38628	16.0085
276	7.92806	14.9601
277	5.03059	15.6929
278	7.71972	15.6328
279	9.10273	18.1849
280	6.58843	17.0588
281	8.48744	17.1258
282	7.63923	15.7581
283	7.20107	13.9677
284	6.1719	16.5059
285	8.13097	13.7908
286	7.98238	19.777
287	7.38884	15.958
288	7.68277	15.6814
289	6.14338	12.3154
290	5.40961	16.2074
291	9.03464	14.4388
292	8.61359	15.6232
293	5.90306	16.0263
294	7.32454	16.3945
295	8.58243	15.8941
296	5.60588	19.0745
297	9.39778	13.941
298	8.31401	15.9346
299	8.2072	15.1681
300	8.99187	14.1901
301	10.436	15.4752
302	10.1329	13.9166
303	7.88948	12.7719
304	9.42353	14.8225
305	8.50624	15.7466
306	6.18488	15.7022
307	9.12766	12.7386
308	8.80975	18.0694
309	6.39952	18.8285
310	10.2099	18.4038
311	7.0633	16.2998
312	11.8946	19.4455
313	12.2149	15.8881
314	8.26145	18.4163
315	10.9564	12.7596
316	8.41923	13.0148
317	9.62282	14.5564
318	8.71585	16.7885
319	6.84031	14.6893
320	9.7773	13.9378
321	5.15724	14.4329
322	7.34703	15.2188
323	5.10942	16.6099
324	10.0034	16.6147
325	6.79294	15.1368
326	9.43342	15.9654
327	10.1574	16.3295
328	8.34319	17.2869
329	5.74888	15.4298
330	7.422	18.9513
331	9.23327	14.7617
332	7.82402	17.0857
333	7.77125	15.3193
334	7.34425	16.7552
335	7.1186	13.7837
336	7.90474	14.9014
337	8.97519	16.3387
338	7.05559	15.4316
339	5.4922	16.5381
340	9.02803	16.4178
341	8.28359	15.49
342	9.15129	16.501
343	9.18469	14.3556
344	10.1226	16.9522
345	8.44229	16.339
346	9.32542	13.6244
347	9.1501	17.1571
348	8.09663	16.4485
349	8.46486	12.7597
350	6.30164	14.3662
351	7.59452	14.5541
352	9.13418	14.2814
353	9.56085	13.9946
354	8.81791	17.0228
355	5.65147	14.5423
356	6.0198	16.6101
357	10.6699	15.2636
358	10.7886	15.0358
359	6.75722	14.7147
360	7.19629	15.0589
361	7.86145	15.7645
362	7.14878	19.0475
363	9.16396	14.2766
364	8.50027	13.7519
365	7.39092	14.2974
366	8.23096	14.2018
367	5.7336	16.0945
368	10.6546	14.6758
369	8.42806	13.9404
370	9.09332	13.4586
371	9.3682	14.6366
372	7.75008	15.3356
373	8.02877	15.6413
374	7.22927	14.5171
375	8.343	16.5276
376	10.3691	8.85373
377	6.08714	6.70293
378	6.14346	7.54939
379	8.83083	11.6993
380	7.91347	4.88772
381	8.11355	8.88167
382	6.2628	8.99021
383	7.69257	8.03866
384	8.43353	6.32012
385	4.04603	7.08817
386	9.16268	7.08041
387	6.93689	10.484
388	8.74498	5.14464
389	9.64476	9.13954
390	9.87291	9.76471
391	9.02348	6.26103
392	7.70453	7.75383
393	5.86631	6.66439
394	6.1313	8.59102
395	8.24856	10.1532
396	8.25014	5.45149
397	9.81776	10.6615
398	8.03711	5.64944
399	6.5162	6.24444
400	6.36935	10.1848
401	5.92221	8.71366
402	9.49784	9.01071
403	9.45044	9.4031
404	8.38058	12.2461
405	7.81199	6.82507
406	8.30542	8.63464
407	8.57384	7.52176
408	8.22387	9.17353
409	9.22937	7.14153
410	5.85671	6.32409
411	9.37551	11.0212
412	8.19422	7.25911
413	7.75863	8.46392
414	9.70463	9.01211
415	6.19028	10.0158
416	5.65373	7.89255
417	8.72062	8.26117
418	7.5729	9.56049
419	8.1598	9.49969
420	7.8763	7.70673
421	7.27552	7.42793
422	5.66054	9.21104
423	11.3261	6.50068
424	7.53476	6.14357
425	9.78819	9.83214
426	5.97952	9.67625
427	9.85234	5.78139
428	10.6251	6.53997
429	8.15078	4.49698
430	6.54492	8.99704
431	5.20666	6.81258
432	7.41026	9.40321
433	8.58488	8.01703
434	7.56573	8.73308
435	7.37894	4.60413
436	6.89996	5.18944
437	9.42533	5.24455
438	8.84378	8.46657
439	5.35196	8.70879
440	8.77316	5.90064
441	7.84852	9.85409
442	10.1067	9.61993
443	10.4175	6.50257
444	9.85595	7.4154
445	8.6271	5.80278
446	9.35908	8.60315
447	5.27074	10.5352
448	7.50863	8.73548
449	8.41813	9.57543
450	7.24952	6.55853
451	9.16591	10.2776
452	9.75344	8.18142
453	7.74416	10.0401
454	7.38947	8.35775
455	8.55843	7.91471
456	7.576	7.78734
457	9.59213	6.40626
458	5.51864	5.89735
459	7.77049	5.03443
460	11.6962	9.19788
461	8.94527	7.15124
462	7.19775	9.62701
463	7.42024	5.63104
464	4.15326	8.00925
465	8.71307	7.1804
466	5.59961	4.57756
467	8.56854	5.83687
468	8.66612	9.94425
469	7.13674	7.08224
470	8.25383	9.40788
471	6.64014	6.66267
472	6.20047	9.22588
473	7.20658	4.0329
474	7.74446	7.43291
475	6.03894	5.73051
476	9.83675	7.52188
477	9.03327	7.99397
478	9.29138	7.54258
479	8.19547	10.7831
480	5.97662	4.51021
481	6.06454	5.86596
482	9.57935	9.15942
483	11.3515	12.9968
484	8.92652	7.65424
485	7.71878	8.84516
486	6.51328	9.42421
487	9.29078	7.74281
488	9.44799	8.18701
489	8.73423	6.92368
490	7.89206	6.49614
491	8.47087	7.54118
492	7.86364	8.73737
493	7.94658	8.69195
494	9.50769	7.11624
495	8.22301	7.38854
496	9.54557	7.84567
497	8.62223	6.30763
498	8.22827	6.10287
499	7.11034	8.23046
500	8.62713	5.85902
501	1.5	0
502	1.50973	0.028461
503	1.51892	0.057289
504	1.52755	0.086473
505	1.53562	0.116003
506	1.54312	0.145868
507	1.55003	0.176056
508	1.55635	0.206556
509	1.56207	0.237356
510	1.56717	0.268445
511	1.57166	0.29981
512	1.57552	0.331439
513	1.57873	0.363319
514	1.58131	0.395437
515	1.58323	0.42778
516	1.58448	0.460335
517	1.58508	0.493089
518	1.58499	0.526027
519	1.58422	0.559137
520	1.58277	0.592403
521	1.58062	0.625812
522	1.57777	0.659349
523	1.57421	0.692999
524	1.56995	0.726748
525	1.56497	0.760581
526	1.55926	0.794483
527	1.55283	0.828439
528	1.54567	0.862433
529	1.53778	0.896449
530	1.52916	0.930473
531	1.51979	0.964488
532	1.50968	0.998479
533	1.49883	1.03243
534	1.48723	1.06632
535	1.47488	1.10015
536	1.46179	1.13388
537	1.44794	1.16751
538	1.43334	1.20101
539	1.41799	1.23438
540	1.40189	1.2676
541	1.38504	1.30064
542	1.36744	1.3335
543	1.34909	1.36615
544	1.32999	1.39858
545	1.31015	1.43078
546	1.28956	1.46272
547	1.26823	1.49439
548	1.24616	1.52577
549	1.22336	1.55685
550	1.19983	1.58761
551	1.17557	1.61803
552	1.15059	1.6481
553	1.12489	1.6778
554	1.09848	1.70712
555	1.07136	1.73603
556	1.04353	1.76452
557	1.01502	1.79258
558	0.985813	1.82018
559	0.955926	1.84732
560	0.925365	1.87398
561	0.894137	1.90014
562	0.86225	1.92578
563	0.829712	1.95089
564	0.796533	1.97546
565	0.762721	1.99946
566	0.728287	2.02289
567	0.693238	2.04573
568	0.657587	2.06797
569	0.621342	2.08958
570	0.584515	2.11055
571	0.547118	2.13088
572	0.509161	2.15055
573	0.470656	2.16954
574	0.431615	2.18783
575	0.392052	2.20542
576	0.351978	2.2223
577	0.311406	2.23844
578	0.270351	2.25384
579	0.228825	2.26849
580	0.186843	2.28236
581	0.144418	2.29546
582	0.101566	2.30777
583	0.058302	2.31927
584	0.01464	2.32995
585	-0.029405	2.33982
586	-0.073815	2.34884
587	-0.118577	2.35702
588	-0.163672	2.36434
589	-0.209086	2.3708
590	-0.254801	2.37638
591	-0.3008	2.38108
592	-0.347066	2.38488
593	-0.393582	2.38778
594	-0.44033	2.38977
595	-0.487292	2.39085
596	-0.534451	2.391
597	-0.581788	2.39021
598	-0.629284	2.38849
599	-0.676921	2.38583
600	-0.72468	2.38221
601	-0.772542	2.37764
602	-0.820489	2.37211
603	-0.8685	2.36561
604	-0.916557	2.35814
605	-0.964639	2.3497
606	-1.01273	2.34027
607	-1.0608	2.32987
608	-1.10884	2.31848
609	-1.15683	2.30611
610	-1.20474	2.29275
611	-1.25256	2.2784
612	-1.30026	2.26305
613	-1.34783	2.24672
614	-1.39524	2.22939
615	-1.44248	2.21107
616	-1.48952	2.19176
617	-1.53634	2.17146
618	-1.58293	2.15017
619	-1.62925	2.12789
620	-1.6753	2.10463
621	-1.72104	2.08039
622	-1.76647	2.05516
623	-1.81155	2.02896
624	-1.85627	2.00179
625	-1.90061	1.97365
626	-1.94454	1.94454
627	-1.98805	1.91448
628	-2.03112	1.88347
629	-2.07372	1.85151
630	-2.11583	1.81862
631	-2.15744	1.78479
632	-2.19852	1.75003
633	-2.23905	1.71436
634	-2.27902	1.67778
635	-2.3184	1.64031
636	-2.35718	1.60194
637	-2.39533	1.56269
638	-2.43284	1.52257
639	-2.46968	1.48159
640	-2.50583	1.43975
641	-2.54129	1.39709
642	-2.57602	1.35359
643	-2.61002	1.30928
644	-2.64325	1.26417
645	-2.67571	1.21826
646	-2.70738	1.17159
647	-2.73823	1.12415
648	-2.76825	1.07596
649	-2.79743	1.02704
650	-2.82574	0.977395
651	-2.85317	0.927051
652	-2.8797	0.876019
653	-2.90532	0.824315
654	-2.93001	0.771955
655	-2.95376	0.718957
656	-2.97655	0.665337
657	-2.99836	0.611113
658	-3.01918	0.556302
659	-3.03899	0.500922
660	-3.05779	0.444993
661	-3.07556	0.388533
662	-3.09228	0.331561
663	-3.10794	0.274096
664	-3.12253	0.216158
665	-3.13603	0.157767
666	-3.14845	0.098944
667	-3.15975	0.039709
668	-3.16994	-0.019918
669	-3.179	-0.079914
670	-3.18692	-0.140258
671	-3.19369	-0.20093
672	-3.1993	-0.261906
673	-3.20374	-0.323165
674	-3.20701	-0.384684
675	-3.2091	-0.446441
676	-3.20999	-0.508412
677	-3.20968	-0.570575
678	-3.20817	-0.632907
679	-3.20544	-0.695383
680	-3.20149	-0.757981
681	-3.19632	-0.820677
682	-3.18993	-0.883446
683	-3.18229	-0.946264
684	-3.17342	-1.00911
685	-3.16331	-1.07195
686	-3.15195	-1.13477
687	-3.13935	-1.19754
688	-3.12549	-1.26024
689	-3.11038	-1.32284
690	-3.09402	-1.38532
691	-3.07641	-1.44765
692	-3.05755	-1.50981
693	-3.03743	-1.57176
694	-3.01605	-1.6335
695	-2.99343	-1.69498
696	-2.96956	-1.75619
697	-2.94444	-1.8171
698	-2.91808	-1.87769
699	-2.89047	-1.93793
700	-2.86163	-1.99779
701	-2.83156	-2.05725
702	-2.80026	-2.11628
703	-2.76774	-2.17487
704	-2.734	-2.23297
705	-2.69905	-2.29058
706	-2.66289	-2.34766
707	-2.62555	-2.40418
708	-2.58701	-2.46014
709	-2.5473	-2.51549
710	-2.50641	-2.57021
711	-2.46437	-2.62429
712	-2.42117	-2.67769
713	-2.37684	-2.73039
714	-2.33138	-2.78237
715	-2.2848	-2.8336
716	-2.23711	-2.88407
717	-2.18833	-2.93374
718	-2.13847	-2.98259
719	-2.08755	-3.0306
720	-2.03557	-3.07775
721	-1.98256	-3.12401
722	-1.92852	-3.16937
723	-1.87348	-3.2138
724	-1.81744	-3.25727
725	-1.76043	-3.29977
726	-1.70246	-3.34127
727	-1.64356	-3.38176
728	-1.58372	-3.42122
729	-1.52299	-3.45961
730	-1.46136	-3.49693
731	-1.39887	-3.53315
732	-1.33554	-3.56826
733	-1.27137	-3.60222
734	-1.2064	-3.63504
735	-1.14064	-3.66668
736	-1.07412	-3.69713
737	-1.00685	-3.72637
738	-0.938859	-3.75439
739	-0.870171	-3.78116
740	-0.800806	-3.80668
741	-0.730787	-3.83092
742	-0.660139	-3.85387
743	-0.588884	-3.87551
744	-0.517048	-3.89584
745	-0.444654	-3.91483
746	-0.371728	-3.93247
747	-0.298294	-3.94875
748	-0.224379	-3.96365
749	-0.150007	-3.97717
750	-0.075205	-3.98929
751	0	-4
752	0.075582	-4.00929
753	0.151515	-4.01714
754	0.22777	-4.02356
755	0.30432	-4.02852
756	0.381139	-4.03203
757	0.458197	-4.03406
758	0.535467	-4.03462
759	0.61292	-4.0337
760	0.690529	-4.03129
761	0.768263	-4.02738
762	0.846095	-4.02197
763	0.923996	-4.01505
764	1.00193	-4.00662
765	1.07988	-3.99668
766	1.15781	-3.98522
767	1.23569	-3.97224
768	1.31349	-3.95773
769	1.39119	-3.9417
770	1.46874	-3.92414
771	1.54612	-3.90506
772	1.62331	-3.88445
773	1.70027	-3.86232
774	1.77696	-3.83866
775	1.85337	-3.81348
776	1.92946	-3.78678
777	2.0052	-3.75856
778	2.08056	-3.72883
779	2.15551	-3.69759
780	2.23002	-3.66485
781	2.30406	-3.63061
782	2.37759	-3.59488
783	2.4506	-3.55766
784	2.52305	-3.51897
785	2.59491	-3.4788
786	2.66615	-3.43717
787	2.73673	-3.3941
788	2.80664	-3.34957
789	2.87585	-3.30362
790	2.94431	-3.25625
791	3.01201	-3.20746
792	3.07891	-3.15728
793	3.14499	-3.10571
794	3.21021	-3.05277
795	3.27456	-2.99848
796	3.33799	-2.94284
797	3.40049	-2.88587
798	3.46203	-2.82759
799	3.52257	-2.76801
800	3.5821	-2.70715
801	3.64058	-2.64503
802	3.69798	-2.58167
803	3.75429	-2.51708
804	3.80948	-2.45128
805	3.86351	-2.38429
806	3.91638	-2.31614
807	3.96804	-2.24684
808	4.01848	-2.17641
809	4.06766	-2.10488
810	4.11558	-2.03226
811	4.1622	-1.95858
812	4.20751	-1.88387
813	4.25147	-1.80815
814	4.29407	-1.73143
815	4.33529	-1.65375
816	4.3751	-1.57513
817	4.41348	-1.4956
818	4.45041	-1.41517
819	4.48588	-1.33389
820	4.51986	-1.25177
821	4.55234	-1.16884
822	4.58329	-1.08513
823	4.61271	-1.00067
824	4.64056	-0.915489
825	4.66683	-0.829609
826	4.69152	-0.743064
827	4.7146	-0.655882
828	4.73605	-0.568093
829	4.75587	-0.479729
830	4.77403	-0.390819
831	4.79053	-0.301394
832	4.80535	-0.211487
833	4.81848	-0.121127
834	4.8299	-0.030348
835	4.83962	0.06082
836	4.84761	0.152342
837	4.85386	0.244187
838	4.85837	0.336322
839	4.86113	0.428714
840	4.86213	0.521329
841	4.86136	0.614133
842	4.85882	0.707093
843	4.85449	0.800175
844	4.84838	0.893344
845	4.84048	0.986567
846	4.83079	1.07981
847	4.81929	1.17304
848	4.806	1.26621
849	4.7909	1.3593
850	4.77399	1.45227
851	4.75528	1.54508
852	4.73477	1.63771
853	4.71244	1.73011
854	4.68832	1.82225
855	4.66239	1.91409
856	4.63466	2.0056
857	4.60514	2.09674
858	4.57382	2.18748
859	4.54071	2.27779
860	4.50583	2.36762
861	4.46916	2.45694
862	4.43073	2.54573
863	4.39054	2.63393
864	4.34859	2.72152
865	4.30489	2.80847
866	4.25946	2.89473
867	4.21231	2.98028
868	4.16344	3.06507
869	4.11287	3.14908
870	4.06061	3.23227
871	4.00667	3.3146
872	3.95107	3.39605
873	3.89381	3.47658
874	3.83493	3.55616
875	3.77442	3.63474
876	3.71231	3.71231
877	3.64862	3.78883
878	3.58335	3.86426
879	3.51654	3.93857
880	3.4482	4.01173
881	3.37835	4.08372
882	3.307	4.1545
883	3.23419	4.22403
884	3.15993	4.29229
885	3.08424	4.35925
886	3.00715	4.42488
887	2.92867	4.48915
888	2.84885	4.55203
889	2.76768	4.61349
890	2.68522	4.67351
891	2.60147	4.73206
892	2.51647	4.7891
893	2.43024	4.84462
894	2.34281	4.89859
895	2.2542	4.95098
896	2.16446	5.00176
897	2.07359	5.05092
898	1.98165	5.09843
899	1.88864	5.14426
900	1.79462	5.1884
901	1.69959	5.23081
902	1.60361	5.27148
903	1.50669	5.31039
904	1.40888	5.34752
905	1.3102	5.38284
906	1.21069	5.41634
907	1.11039	5.44799
908	1.00932	5.47779
909	0.907515	5.50571
910	0.80502	5.53173
911	0.701866	5.55584
912	0.598089	5.57803
913	0.493724	5.59827
914	0.388808	5.61656
915	0.283378	5.63288
916	0.177471	5.64721
917	0.071124	5.65955
918	-0.035625	5.66989
919	-0.142739	5.67821
920	-0.250179	5.6845
921	-0.357906	5.68875
922	-0.465882	5.69096
923	-0.574069	5.69112
924	-0.682427	5.68922
925	-0.790916	5.68525
926	-0.899498	5.67921
927	-1.00813	5.67109
928	-1.11678	5.66089
929	-1.2254	5.64861
930	-1.33395	5.63424
931	-1.4424	5.61778
932	-1.5507	5.59923
933	-1.65881	5.5786
934	-1.7667	5.55587
935	-1.87431	5.53105
936	-1.98162	5.50415
937	-2.08857	5.47517
938	-2.19514	5.4441
939	-2.30128	5.41096
940	-2.40694	5.37575
941	-2.5121	5.33848
942	-2.6167	5.29915
943	-2.72071	5.25777
944	-2.82409	5.21435
945	-2.9268	5.16889
946	-3.0288	5.12142
947	-3.13004	5.07193
948	-3.23049	5.02044
949	-3.33012	4.96696
950	-3.42887	4.91151
951	-3.52671	4.8541
952	-3.62361	4.79474
953	-3.71951	4.73346
954	-3.8144	4.67025
955	-3.90822	4.60515
956	-4.00094	4.53817
957	-4.09252	4.46933
958	-4.18292	4.39864
959	-4.27211	4.32614
960	-4.36005	4.25183
961	-4.44671	4.17574
962	-4.53204	4.09789
963	-4.61602	4.0183
964	-4.6986	3.93701
965	-4.77976	3.85402
966	-4.85945	3.76938
967	-4.93765	3.68309
968	-5.01432	3.5952
969	-5.08943	3.50572
970	-5.16295	3.41469
971	-5.23483	3.32213
972	-5.30506	3.22807
973	-5.3736	3.13254
974	-5.44043	3.03557
975	-5.5055	2.93719
976	-5.56879	2.83744
977	-5.63028	2.73634
978	-5.68993	2.63394
979	-5.74771	2.53025
980	-5.80361	2.42532
981	-5.85759	2.31918
982	-5.90963	2.21187
983	-5.9597	2.10342
984	-6.00778	1.99386
985	-6.05384	1.88324
986	-6.09786	1.77159
987	-6.13983	1.65895
988	-6.17971	1.54536
989	-6.21748	1.43085
990	-6.25313	1.31546
991	-6.28664	1.19924
992	-6.31798	1.08222
993	-6.34714	0.964448
994	-6.37411	0.845959
995	-6.39886	0.726795
996	-6.42137	0.606999
997	-6.44165	0.486611
998	-6.45966	0.365675
999	-6.4754	0.244232
1000	-6.48885	0.122326
1001	-1.5	0
1002	-1.50973	-0.028461
1003	-1.51892	-0.057289
1004	-1.52755	-0.086473
1005	-1.53562	-0.116003
1006	-1.54312	-0.145868
1007	-1.55003	-0.176056
1008	-1.55635	-0.206556
1009	-1.56207	-0.237356
1010	-1.56717	-0.268445
1011	-1.57166	-0.29981
1012	-1.57552	-0.331439
1013	-1.57873	-0.363319
1014	-1.58131	-0.395437
1015	-1.58323	-0.42778
1016	-1.58448	-0.460335
1017	-1.58508	-0.493089
1018	-1.58499	-0.526027
1019	-1.58422	-0.559137
1020	-1.58277	-0.592403
1021	-1.58062	-0.625812
1022	-1.57777	-0.659349
1023	-1.57421	-0.692999
1024	-1.56995	-0.726748
1025	-1.56497	-0.760581
1026	-1.55926	-0.794483
1027	-1.55283	-0.828439
1028	-1.54567	-0.862433
1029	-1.53778	-0.896449
1030	-1.52916	-0.930473
1031	-1.51979	-0.964488
1032	-1.50968	-0.998479
1033	-1.49883	-1.03243
1034	-1.48723	-1.06632
1035	-1.47488	-1.10015
1036	-1.46179	-1.13388
1037	-1.44794	-1.16751
1038	-1.43334	-1.20101
1039	-1.41799	-1.23438
1040	-1.40189	-1.2676
1041	-1.38504	-1.30064
1042	-1.36744	-1.3335
1043	-1.34909	-1.36615
1044	-1.32999	-1.39858
1045	-1.31015	-1.43078
1046	-1.28956	-1.46272
1047	-1.26823	-1.49439
1048	-1.24616	-1.52577
1049	-1.22336	-1.55685
1050	-1.19983	-1.58761
1051	-1.17557	-1.61803
1052	-1.15059	-1.6481
1053	-1.12489	-1.6778
1054	-1.09848	-1.70712
1055	-1.07136	-1.73603
1056	-1.04353	-1.76452
1057	-1.01502	-1.79258
1058	-0.985813	-1.82018
1059	-0.955926	-1.84732
1060	-0.925365	-1.87398
1061	-0.894137	-1.90014
1062	-0.86225	-1.92578
1063	-0.829712	-1.95089
1064	-0.796533	-1.97546
1065	-0.762721	-1.99946
1066	-0.728287	-2.02289
1067	-0.693238	-2.04573
1068	-0.657587	-2.06797
1069	-0.621342	-2.08958
1070	-0.584515	-2.11055
1071	-0.547118	-2.13088
1072	-0.509161	-2.15055
1073	-0.470656	-2.16954
1074	-0.431615	-2.18783
1075	-0.392052	-2.20542
1076	-0.351978	-2.2223
1077	-0.311406	-2.23844
1078	-0.270351	-2.25384
1079	-0.228825	-2.26849
1080	-0.186843	-2.28236
1081	-0.144418	-2.29546
1082	-0.101566	-2.30777
1083	-0.058302	-2.31927
1084	-0.01464	-2.32995
1085	0.029405	-2.33982
1086	0.073815	-2.34884
1087	0.118577	-2.35702
1088	0.163672	-2.36434
1089	0.209086	-2.3708
1090	0.254801	-2.37638
1091	0.3008	-2.38108
1092	0.347066	-2.38488
1093	0.393582	-2.38778
1094	0.44033	-2.38977
1095	0.487292	-2.39085
1096	0.534451	-2.391
1097	0.581788	-2.39021
1098	0.629284	-2.38849
1099	0.676921	-2.38583
1100	0.72468	-2.38221
1101	0.772542	-2.37764
1102	0.820489	-2.37211
1103	0.8685	-2.36561
1104	0.916557	-2.35814
1105	0.964639	-2.3497
1106	1.01273	-2.34027
1107	1.0608	-2.32987
1108	1.10884	-2.31848
1109	1.15683	-2.30611
1110	1.20474	-2.29275
